record_id,carrier_id,event_date,quantity,unit_cost,control_value
5001,C025,2026-07-15,2,350.0,700.0
5002,C005,2026-06-03,2,350.0,700.0
5003,C004,2026-06-17,5,350.0,1750.0
5004,C030,2026-07-02,4,500.0,2000.0
5005,C014,2026-06-06,4,120.0,480.0
5006,C012,2026-07-09,3,120.0,360.0
5007,C006,2026-06-29,4,200.0,800.0
5008,C023,2026-06-04,2,80.0,160.0
5009,C009,2026-06-10,4,200.0,800.0
5010,C016,2026-06-23,3,500.0,1500.0
5011,C009,2026-06-26,5,350.0,1750.0
5012,C028,2026-06-20,1,350.0,350.0
5013,C026,2026-07-09,3,500.0,1500.0
5014,C028,2026-07-15,4,120.0,480.0
5015,C012,2026-07-15,4,200.0,800.0
5016,C002,2026-06-29,3,200.0,600.0
5017,C012,2026-06-22,5,350.0,1750.0
5018,C012,2026-06-26,5,120.0,600.0
5019,C004,2026-06-16,1,500.0,500.0
5020,C017,2026-06-24,4,350.0,1400.0
5021,C018,2026-06-30,4,350.0,1400.0
5022,C025,2026-07-06,5,500.0,2500.0
5023,C014,2026-06-16,5,80.0,400.0
5024,C012,2026-06-18,1,350.0,350.0
5025,C011,2026-06-24,2,120.0,240.0
5026,C028,2026-06-12,2,80.0,160.0
5027,C017,2026-07-12,1,500.0,500.0
5028,C020,2026-07-07,2,350.0,700.0
5029,C007,2026-06-27,3,350.0,1050.0
5030,C008,2026-06-15,3,500.0,1500.0
5031,C026,2026-07-04,1,200.0,200.0
5032,C030,2026-07-01,5,80.0,400.0
5033,C021,2026-07-07,3,120.0,360.0
5034,C002,2026-07-12,3,120.0,360.0
5035,C014,2026-06-25,2,80.0,160.0
5036,C020,2026-06-09,1,80.0,80.0
5037,C003,2026-06-10,5,500.0,2500.0
5038,C008,2026-07-06,4,BAD,480.0
5039,C018,2026-07-11,4,200.0,800.0
5040,C012,2026-06-30,2,120.0,240.0
