record_id,seller_id,event_date,quantity,refund_unit,control_value
5041,S006,2026-07-16,3,500.0,1500.0
5042,S015,2026-06-06,1,200.0,200.0
5043,S002,2026-07-06,5,80.0,400.0
5044,S025,2026-07-12,1,350.0,350.0
5045,S024,2026-07-14,5,120.0,600.0
5046,S015,2026-06-12,5,80.0,400.0
5047,S001,2026-06-07,2,80.0,160.0
5048,S021,2026-06-19,3,80.0,240.0
5049,S006,2026-06-29,1,80.0,80.0
5050,S028,2026-06-01,2,350.0,700.0
5051,S008,2026-06-07,5,350.0,1750.0
5052,S002,2026-06-14,2,500.0,1000.0
5053,S002,2026-07-04,4,500.0,2000.0
5054,S009,2026-06-20,1,80.0,80.0
5055,S004,2026-06-18,3,350.0,1050.0
5056,S026,2026-06-26,5,500.0,2500.0
5057,S020,2026-07-09,3,200.0,600.0
5058,S030,2026-06-26,1,200.0,200.0
5059,S004,2026-06-05,1,350.0,350.0
5060,S007,2026-06-18,1,120.0,120.0
5061,S024,2026-06-15,2,80.0,160.0
5062,S006,2026-06-07,2,500.0,1000.0
5063,S008,2026-06-13,1,80.0,80.0
5064,S017,2026-06-30,5,500.0,2500.0
5065,S011,2026-07-11,3,350.0,1050.0
5066,S002,2026-06-12,4,500.0,2000.0
5067,S015,2026-07-03,3,200.0,600.0
5068,S015,2026-06-30,4,350.0,1400.0
5069,S004,2026-07-06,2,200.0,400.0
5070,S002,2026-06-04,2,500.0,1000.0
5071,S023,2026-06-29,1,350.0,350.0
5072,S027,2026-07-03,4,500.0,2000.0
5073,S008,2026-06-13,5,80.0,400.0
5074,S015,2026-06-27,5,80.0,400.0
5075,S024,2026-06-08,5,200.0,1000.0
5076,S014,2026-06-05,2,120.0,240.0
5077,S030,2026-07-16,4,350.0,1400.0
5078,S016,2026-06-14,1,200.0,200.0
5079,S022,2026-07-10,5,500.0,2500.0
5080,S008,2026-07-08,4,200.0,800.0
