delivery_id,restaurant_id,courier_id,city_id,order_date,pickup_date,delivered_date,delivery_fee,status
D001,R01,C03,CT01,2026-04-01,2026-04-01,2026-04-01,125.5,Delivered
D002,R02,C06,CT02,2026-04-02,2026-04-02,2026-04-02,161.0,Delivered
D003,R03,C09,CT03,2026-04-03,2026-04-03,2026-04-03,151.5,Delivered
D004,R04,C02,CT04,2026-04-04,2026-04-04,2026-04-04,187.0,Delivered
D005,R05,C05,CT01,2026-04-05,2026-04-05,2026-04-05,177.5,Delivered
D006,R06,C08,CT02,2026-04-06,2026-04-06,2026-04-06,213.0,Delivered
D007,R01,C01,CT03,2026-04-07,2026-04-08,2026-04-08,248.5,Delivered
D008,R02,C04,CT04,2026-04-08,2026-04-08,2026-04-08,99.0,Delivered
D009,R03,C07,CT01,2026-04-09,2026-04-09,2026-04-10,134.5,Delivered
D010,R04,C10,CT02,2026-04-10,2026-04-10,2026-04-10,125.0,Delivered
D011,R05,C03,CT03,2026-04-11,2026-04-11,2026-04-11,160.5,Delivered
D012,R06,C06,CT04,2026-04-12,2026-04-12,2026-04-12,196.0,Delivered
D013,R01,C09,CT01,2026-04-13,2026-04-13,2026-04-13,186.5,Delivered
D014,R02,C02,CT02,2026-04-14,2026-04-15,2026-04-15,222.0,Delivered
D015,R03,C05,CT03,2026-04-01,2026-04-01,2026-04-01,212.5,Delivered
D016,R04,C08,CT04,2026-04-02,2026-04-02,2026-04-02,108.0,Delivered
D017,R05,C01,CT01,2026-04-03,2026-04-03,2026-04-03,143.5,Delivered
D018,R06,C04,CT02,2026-04-04,2026-04-04,2026-04-05,134.0,Delivered
D019,R01,C07,CT03,2026-04-05,2026-04-05,2026-04-05,169.5,Delivered
D020,R02,C10,CT04,2026-04-06,2026-04-06,2026-04-06,160.0,Delivered
D021,R03,C03,CT01,2026-04-07,2026-04-08,2026-04-08,195.5,Delivered
D022,R04,C06,CT02,2026-04-08,2026-04-08,2026-04-08,231.0,Delivered
D023,R05,C09,CT03,2026-04-09,2026-04-09,2026-04-09,221.5,Delivered
D024,R06,C02,CT04,2026-04-10,2026-04-10,2026-04-10,117.0,Delivered
D025,R01,C05,CT01,2026-04-11,2026-04-11,2026-04-11,107.5,Delivered
D026,R02,C08,CT02,2026-04-12,2026-04-12,2026-04-12,143.0,Delivered
D027,R03,C01,CT03,2026-04-13,2026-04-13,2026-04-14,178.5,Delivered
D028,R04,C04,CT04,2026-04-14,2026-04-15,2026-04-15,169.0,Delivered
D029,R05,C07,CT01,2026-04-01,2026-04-01,2026-04-01,204.5,Delivered
D030,R06,C10,CT02,2026-04-02,2026-04-02,2026-04-02,195.0,Delivered
D031,R01,C03,CT03,2026-04-03,2026-04-03,2026-04-03,230.5,Delivered
D032,R02,C06,CT04,2026-04-04,2026-04-04,2026-04-04,126.0,Delivered
D033,R03,C09,CT01,2026-04-05,2026-04-05,2026-04-05,116.5,Delivered
D034,R04,C02,CT02,2026-04-06,2026-04-06,2026-04-06,152.0,Delivered
D035,R05,C05,CT03,2026-04-07,2026-04-08,2026-04-08,142.5,Delivered
D036,R06,C08,CT04,2026-04-08,2026-04-08,2026-04-09,178.0,Delivered
D037,R01,C01,CT01,2026-04-09,2026-04-09,2026-04-09,213.5,Delivered
D038,R02,C04,CT02,2026-04-10,2026-04-10,2026-04-10,204.0,Delivered
D039,R03,C07,CT03,2026-04-11,2026-04-11,2026-04-11,239.5,Delivered
D040,R04,C10,CT04,2026-04-12,2026-04-12,2026-04-12,90.0,Delivered
