event_id,delivery_id,event_type,event_ts
E0011,D001,ORDERED,2026-04-01T11:07:00
E0012,D001,PICKED_UP,2026-04-01T12:07:00
E0013,D001,DELIVERED,2026-04-01T13:07:00
E0021,D002,ORDERED,2026-04-02T11:14:00
E0022,D002,PICKED_UP,2026-04-02T12:14:00
E0023,D002,DELIVERED,2026-04-02T13:14:00
E0031,D003,ORDERED,2026-04-03T11:21:00
E0032,D003,PICKED_UP,2026-04-03T12:21:00
E0033,D003,DELIVERED,2026-04-03T13:21:00
E0041,D004,ORDERED,2026-04-04T11:28:00
E0042,D004,PICKED_UP,2026-04-04T12:28:00
E0043,D004,DELIVERED,2026-04-04T13:28:00
E0051,D005,ORDERED,2026-04-05T11:35:00
E0052,D005,PICKED_UP,2026-04-05T12:35:00
E0053,D005,DELIVERED,2026-04-05T13:35:00
E0061,D006,ORDERED,2026-04-06T11:42:00
E0062,D006,PICKED_UP,2026-04-06T12:42:00
E0063,D006,DELIVERED,2026-04-06T13:42:00
E0071,D007,ORDERED,2026-04-07T11:49:00
E0072,D007,PICKED_UP,2026-04-08T12:49:00
E0073,D007,DELIVERED,2026-04-08T13:49:00
E0081,D008,ORDERED,2026-04-08T11:56:00
E0082,D008,PICKED_UP,2026-04-08T12:56:00
E0083,D008,DELIVERED,2026-04-08T13:56:00
E0091,D009,ORDERED,2026-04-09T11:03:00
E0092,D009,PICKED_UP,2026-04-09T12:03:00
E0093,D009,DELIVERED,2026-04-10T13:03:00
E0101,D010,ORDERED,2026-04-10T11:10:00
E0102,D010,PICKED_UP,2026-04-10T12:10:00
E0103,D010,DELIVERED,2026-04-10T13:10:00
E0111,D011,ORDERED,2026-04-11T11:17:00
E0112,D011,PICKED_UP,2026-04-11T12:17:00
E0113,D011,DELIVERED,2026-04-11T13:17:00
E0121,D012,ORDERED,2026-04-12T11:24:00
E0122,D012,PICKED_UP,2026-04-12T12:24:00
E0123,D012,DELIVERED,2026-04-12T13:24:00
E0131,D013,ORDERED,2026-04-13T11:31:00
E0132,D013,PICKED_UP,2026-04-13T12:31:00
E0133,D013,DELIVERED,2026-04-13T13:31:00
E0141,D014,ORDERED,2026-04-14T11:38:00
E0142,D014,PICKED_UP,2026-04-15T12:38:00
E0143,D014,DELIVERED,2026-04-15T13:38:00
E0151,D015,ORDERED,2026-04-01T11:45:00
E0152,D015,PICKED_UP,2026-04-01T12:45:00
E0153,D015,DELIVERED,2026-04-01T13:45:00
E0161,D016,ORDERED,2026-04-02T11:52:00
E0162,D016,PICKED_UP,2026-04-02T12:52:00
E0163,D016,DELIVERED,2026-04-02T13:52:00
E0171,D017,ORDERED,2026-04-03T11:59:00
E0172,D017,PICKED_UP,2026-04-03T12:59:00
E0173,D017,DELIVERED,2026-04-03T13:59:00
E0181,D018,ORDERED,2026-04-04T11:06:00
E0182,D018,PICKED_UP,2026-04-04T12:06:00
E0183,D018,DELIVERED,2026-04-05T13:06:00
E0191,D019,ORDERED,2026-04-05T11:13:00
E0192,D019,PICKED_UP,2026-04-05T12:13:00
E0193,D019,DELIVERED,2026-04-05T13:13:00
E0201,D020,ORDERED,2026-04-06T11:20:00
E0202,D020,PICKED_UP,2026-04-06T12:20:00
E0203,D020,DELIVERED,2026-04-06T13:20:00
E0211,D021,ORDERED,2026-04-07T11:27:00
