customer_id,customer_name,segment,home_region
C001,Customer 001,Mid,North
C002,Customer 002,Enterprise,South
C003,Customer 003,SMB,East
C004,Customer 004,Mid,West
C005,Customer 005,Enterprise,North
C006,Customer 006,SMB,South
C007,Customer 007,Mid,East
C008,Customer 008,Enterprise,West
C009,Customer 009,SMB,North
C010,Customer 010,Mid,South
C011,Customer 011,Enterprise,East
C012,Customer 012,SMB,West
C013,Customer 013,Mid,North
C014,Customer 014,Enterprise,South
C015,Customer 015,SMB,East
C016,Customer 016,Mid,West
C017,Customer 017,Enterprise,North
C018,Customer 018,SMB,South
C019,Customer 019,Mid,East
C020,Customer 020,Enterprise,West
C021,Customer 021,SMB,North
C022,Customer 022,Mid,South
C023,Customer 023,Enterprise,East
C024,Customer 024,SMB,West
