event_id,shipment_id,event_type,event_ts
1,1001,booked,2026-01-01 08:00:00
2,1001,picked_up,2026-01-01 08:00:00
3,1001,delivered,2026-01-02 08:00:00
4,1002,booked,2026-01-03 09:00:00
5,1002,picked_up,2026-01-04 09:00:00
6,1002,delivered,2026-01-06 09:00:00
7,1003,booked,2026-01-05 10:00:00
8,1003,picked_up,2026-01-07 10:00:00
9,1003,delivered,2026-01-10 10:00:00
10,1004,booked,2026-01-07 11:00:00
11,1004,picked_up,2026-01-07 11:00:00
12,1004,delivered,2026-01-11 11:00:00
13,1005,booked,2026-01-09 12:00:00
14,1005,picked_up,2026-01-10 12:00:00
15,1005,delivered,2026-01-11 12:00:00
16,1006,booked,2026-01-11 13:00:00
17,1006,picked_up,2026-01-13 13:00:00
18,1006,delivered,2026-01-15 13:00:00
19,1007,booked,2026-01-13 14:00:00
20,1007,picked_up,2026-01-13 14:00:00
21,1007,delivered,2026-01-16 14:00:00
22,1008,booked,2026-01-15 15:00:00
23,1008,picked_up,2026-01-16 15:00:00
24,1008,delivered,2026-01-20 15:00:00
25,1009,booked,2026-01-17 08:00:00
26,1009,picked_up,2026-01-19 08:00:00
27,1009,delivered,2026-01-20 08:00:00
28,1010,booked,2026-01-19 09:00:00
29,1010,picked_up,2026-01-19 09:00:00
30,1010,delivered,2026-01-21 09:00:00
31,1011,booked,2026-01-21 10:00:00
32,1011,picked_up,2026-01-22 10:00:00
33,1011,delivered,2026-01-25 10:00:00
34,1012,booked,2026-01-23 11:00:00
35,1012,picked_up,2026-01-25 11:00:00
36,1012,delivered,2026-01-29 11:00:00
37,1013,booked,2026-01-25 12:00:00
38,1013,picked_up,2026-01-25 12:00:00
39,1013,delivered,2026-01-26 12:00:00
40,1014,booked,2026-01-27 13:00:00
41,1014,picked_up,2026-01-28 13:00:00
42,1014,delivered,2026-01-30 13:00:00
43,1015,booked,2026-01-29 14:00:00
44,1015,picked_up,2026-01-31 14:00:00
45,1015,delivered,2026-02-03 14:00:00
46,1016,booked,2026-01-31 15:00:00
47,1016,picked_up,2026-01-31 15:00:00
48,1016,delivered,2026-02-04 15:00:00
49,1017,booked,2026-02-02 08:00:00
50,1017,picked_up,2026-02-03 08:00:00
51,1017,delivered,2026-02-04 08:00:00
52,1018,booked,2026-02-04 09:00:00
53,1018,picked_up,2026-02-06 09:00:00
54,1018,delivered,2026-02-08 09:00:00
55,1019,booked,2026-02-06 10:00:00
56,1019,picked_up,2026-02-06 10:00:00
57,1019,delivered,2026-02-09 10:00:00
58,1020,booked,2026-02-08 11:00:00
59,1020,picked_up,2026-02-09 11:00:00
60,1020,delivered,2026-02-13 11:00:00
61,1021,booked,2026-02-10 12:00:00
62,1021,picked_up,2026-02-12 12:00:00
63,1021,delivered,2026-02-13 12:00:00
64,1022,booked,2026-02-12 13:00:00
65,1022,picked_up,2026-02-12 13:00:00
66,1022,delivered,2026-02-14 13:00:00
67,1023,booked,2026-02-14 14:00:00
68,1023,picked_up,2026-02-15 14:00:00
69,1023,delivered,2026-02-18 14:00:00
70,1024,booked,2026-02-16 15:00:00
71,1024,picked_up,2026-02-18 15:00:00
72,1024,delivered,2026-02-22 15:00:00
73,1025,booked,2026-02-18 08:00:00
74,1025,picked_up,2026-02-18 08:00:00
75,1025,delivered,2026-02-19 08:00:00
76,1026,booked,2026-02-20 09:00:00
77,1026,picked_up,2026-02-21 09:00:00
