shipment_id,customer_id,service_id,booking_date,pickup_date,delivery_date,origin_region,destination_region,weight_kg,booked_revenue
1001,C001,S01,2026-01-01,2026-01-01,2026-01-02,North,South,0.5,309.0
1002,C008,S02,2026-01-03,2026-01-04,2026-01-06,South,East,2.95,353.1
1003,C015,S03,2026-01-05,2026-01-07,2026-01-10,East,West,5.4,277.2
1004,C022,S04,2026-01-07,2026-01-07,2026-01-11,West,North,7.85,321.3
1005,C005,S01,2026-01-09,2026-01-10,2026-01-11,North,South,10.3,485.4
1006,C012,S02,2026-01-11,2026-01-13,2026-01-15,South,East,12.75,529.5
1007,C019,S03,2026-01-13,2026-01-13,2026-01-16,East,West,1.2,201.6
1008,C002,S04,2026-01-15,2026-01-16,2026-01-20,West,North,3.65,245.7
1009,C009,S01,2026-01-17,2026-01-19,2026-01-20,North,South,6.1,409.8
1010,C016,S02,2026-01-19,2026-01-19,2026-01-21,South,East,8.55,453.9
1011,C023,S03,2026-01-21,2026-01-22,2026-01-25,East,West,11.0,378.0
1012,C006,S04,2026-01-23,2026-01-25,2026-01-29,West,North,13.45,422.1
1013,C013,S01,2026-01-25,2026-01-25,2026-01-26,North,South,1.9,334.2
1014,C020,S02,2026-01-27,2026-01-28,2026-01-30,South,East,4.35,378.3
1015,C003,S03,2026-01-29,2026-01-31,2026-02-03,East,West,6.8,302.4
1016,C010,S04,2026-01-31,2026-01-31,2026-02-04,West,North,9.25,346.5
1017,C017,S01,2026-02-02,2026-02-03,2026-02-04,North,South,11.7,510.6
1018,C024,S02,2026-02-04,2026-02-06,2026-02-08,South,East,14.15,554.7
1019,C007,S03,2026-02-06,2026-02-06,2026-02-09,East,West,2.6,226.8
1020,C014,S04,2026-02-08,2026-02-09,2026-02-13,West,North,5.05,270.9
1021,C021,S01,2026-02-10,2026-02-12,2026-02-13,North,South,7.5,435.0
1022,C004,S02,2026-02-12,2026-02-12,2026-02-14,South,East,9.95,479.1
1023,C011,S03,2026-02-14,2026-02-15,2026-02-18,East,West,12.4,403.2
1024,C018,S04,2026-02-16,2026-02-18,2026-02-22,West,North,0.85,195.3
1025,C001,S01,2026-02-18,2026-02-18,2026-02-19,North,South,3.3,359.4
1026,C008,S02,2026-02-20,2026-02-21,2026-02-23,South,East,5.75,403.5
1027,C015,S03,2026-02-22,2026-02-24,2026-02-27,East,West,8.2,327.6
1028,C022,S04,2026-02-24,2026-02-24,2026-02-28,West,North,10.65,371.7
1029,C005,S01,2026-02-26,2026-02-27,2026-02-28,North,South,13.1,535.8
1030,C012,S02,2026-02-28,2026-03-02,2026-03-04,South,East,1.55,327.9
1031,C019,S03,2026-03-02,2026-03-02,2026-03-05,East,West,4.0,252.0
1032,C002,S04,2026-03-04,2026-03-05,2026-03-09,West,North,6.45,296.1
1033,C009,S01,2026-03-06,2026-03-08,2026-03-09,North,South,8.9,460.2
1034,C016,S02,2026-03-08,2026-03-08,2026-03-10,South,East,11.35,504.3
1035,C023,S03,2026-03-10,2026-03-11,2026-03-14,East,West,13.8,428.4
1036,C006,S04,2026-03-12,2026-03-14,2026-03-18,West,North,2.25,220.5
1037,C013,S01,2026-03-14,2026-03-14,2026-03-15,North,South,4.7,384.6
1038,C020,S02,2026-03-16,2026-03-17,2026-03-19,South,East,7.15,428.7
1039,C003,S03,2026-03-18,2026-03-20,2026-03-23,East,West,9.6,352.8
1040,C010,S04,2026-03-20,2026-03-20,2026-03-24,West,North,12.05,396.9
1041,C017,S01,2026-03-22,2026-03-23,2026-03-24,North,South,0.5,309.0
1042,C024,S02,2026-03-24,2026-03-26,2026-03-28,South,East,2.95,353.1
1043,C007,S03,2026-03-26,2026-03-26,2026-03-29,East,West,5.4,277.2
1044,C014,S04,2026-01-02,2026-01-03,2026-01-07,West,North,7.85,321.3
1045,C021,S01,2026-01-04,2026-01-06,2026-01-07,North,South,10.3,485.4
1046,C004,S02,2026-01-06,2026-01-06,2026-01-08,South,East,12.75,529.5
1047,C011,S03,2026-01-08,2026-01-09,2026-01-12,East,West,1.2,201.6
1048,C018,S04,2026-01-10,2026-01-12,2026-01-16,West,North,3.65,245.7
1049,C001,S01,2026-01-12,2026-01-12,2026-01-13,North,South,6.1,409.8
1050,C008,S02,2026-01-14,2026-01-15,2026-01-17,South,East,8.55,453.9
1051,C015,S03,2026-01-16,2026-01-18,2026-01-21,East,West,11.0,378.0
1052,C022,S04,2026-01-18,2026-01-18,2026-01-22,West,North,13.45,422.1
1053,C005,S01,2026-01-20,2026-01-21,2026-01-22,North,South,1.9,334.2
1054,C012,S02,2026-01-22,2026-01-24,2026-01-26,South,East,4.35,378.3
1055,C019,S03,2026-01-24,2026-01-24,2026-01-27,East,West,6.8,302.4
1056,C002,S04,2026-01-26,2026-01-27,2026-01-31,West,North,9.25,346.5
1057,C009,S01,2026-01-28,2026-01-30,2026-01-31,North,South,11.7,510.6
1058,C016,S02,2026-01-30,2026-01-30,2026-02-01,South,East,14.15,554.7
1059,C023,S03,2026-02-01,2026-02-02,2026-02-05,East,West,2.6,226.8
1060,C006,S04,2026-02-03,2026-02-05,2026-02-09,West,North,5.05,270.9
1061,C013,S01,2026-02-05,2026-02-05,2026-02-06,North,South,7.5,435.0
1062,C020,S02,2026-02-07,2026-02-08,2026-02-10,South,East,9.95,479.1
1063,C003,S03,2026-02-09,2026-02-11,2026-02-14,East,West,12.4,403.2
1064,C010,S04,2026-02-11,2026-02-11,2026-02-15,West,North,0.85,195.3
1065,C017,S01,2026-02-13,2026-02-14,2026-02-15,North,South,3.3,359.4
1066,C024,S02,2026-02-15,2026-02-17,2026-02-19,South,East,5.75,403.5
1067,C007,S03,2026-02-17,2026-02-17,2026-02-20,East,West,8.2,327.6
1068,C014,S04,2026-02-19,2026-02-20,2026-02-24,West,North,10.65,371.7
1069,C021,S01,2026-02-21,2026-02-23,2026-02-24,North,South,13.1,535.8
1070,C004,S02,2026-02-23,2026-02-23,2026-02-25,South,East,1.55,327.9
1071,C011,S03,2026-02-25,2026-02-26,2026-03-01,East,West,4.0,252.0
1072,C018,S04,2026-02-27,2026-03-01,2026-03-05,West,North,6.45,296.1
