event_id,appointment_id,event_at,event_type
E00001,A0001,2026-01-01T17:00,Booked
E00002,A0001,2026-01-03T15:00,CheckedIn
E00003,A0001,2026-01-03T18:00,Closed
E00004,A0002,2026-01-02T01:00,Booked
E00005,A0002,2026-01-03T23:00,CheckedIn
E00006,A0002,2026-01-04T02:00,Closed
E00007,A0003,2026-01-02T09:00,Booked
E00008,A0003,2026-01-04T07:00,CheckedIn
E00009,A0003,2026-01-04T10:00,Closed
E00010,A0004,2026-01-02T17:00,Booked
E00011,A0004,2026-01-04T15:00,CheckedIn
E00012,A0004,2026-01-04T18:00,Closed
E00013,A0005,2026-01-03T01:00,Booked
E00014,A0005,2026-01-04T23:00,CheckedIn
E00015,A0005,2026-01-05T02:00,Closed
E00016,A0006,2026-01-03T09:00,Booked
E00017,A0006,2026-01-05T07:00,CheckedIn
E00018,A0006,2026-01-05T10:00,Closed
E00019,A0007,2026-01-03T17:00,Booked
E00020,A0007,2026-01-05T15:00,CheckedIn
E00021,A0007,2026-01-05T18:00,Closed
E00022,A0008,2026-01-04T01:00,Booked
E00023,A0008,2026-01-05T23:00,CheckedIn
E00024,A0008,2026-01-06T02:00,Closed
E00025,A0009,2026-01-04T09:00,Booked
E00026,A0009,2026-01-06T07:00,CheckedIn
E00027,A0009,2026-01-06T10:00,Closed
E00028,A0010,2026-01-04T17:00,Booked
E00029,A0010,2026-01-06T15:00,CheckedIn
E00030,A0010,2026-01-06T18:00,Closed
E00031,A0011,2026-01-05T01:00,Booked
E00032,A0011,2026-01-06T23:00,CheckedIn
E00033,A0011,2026-01-07T02:00,Closed
E00034,A0012,2026-01-05T09:00,Booked
E00035,A0012,2026-01-07T07:00,CheckedIn
E00036,A0012,2026-01-07T10:00,Closed
E00037,A0013,2026-01-05T17:00,Booked
E00038,A0013,2026-01-07T15:00,CheckedIn
E00039,A0013,2026-01-07T18:00,Closed
E00040,A0014,2026-01-06T01:00,Booked
E00041,A0014,2026-01-07T23:00,CheckedIn
E00042,A0014,2026-01-08T02:00,Closed
E00043,A0015,2026-01-06T09:00,Booked
E00044,A0015,2026-01-08T07:00,CheckedIn
E00045,A0015,2026-01-08T10:00,Closed
E00046,A0016,2026-01-06T17:00,Booked
E00047,A0016,2026-01-08T15:00,CheckedIn
E00048,A0016,2026-01-08T18:00,Closed
E00049,A0017,2026-01-07T01:00,Booked
E00050,A0017,2026-01-08T23:00,CheckedIn
E00051,A0017,2026-01-09T02:00,Closed
E00052,A0018,2026-01-07T09:00,Booked
E00053,A0018,2026-01-09T07:00,CheckedIn
E00054,A0018,2026-01-09T10:00,Closed
E00055,A0019,2026-01-07T17:00,Booked
E00056,A0019,2026-01-09T15:00,CheckedIn
E00057,A0019,2026-01-09T18:00,Closed
E00058,A0020,2026-01-09T01:00,Booked
E00059,A0020,2026-01-10T23:00,CheckedIn
E00060,A0020,2026-01-11T02:00,Closed
E00061,A0021,2026-01-09T09:00,Booked
E00062,A0021,2026-01-11T07:00,CheckedIn
E00063,A0021,2026-01-11T10:00,Closed
E00064,A0022,2026-01-09T17:00,Booked
E00065,A0022,2026-01-11T15:00,CheckedIn
E00066,A0022,2026-01-11T18:00,Closed
E00067,A0023,2026-01-10T01:00,Booked
E00068,A0023,2026-01-11T23:00,CheckedIn
E00069,A0023,2026-01-12T02:00,Closed
E00070,A0024,2026-01-10T09:00,Booked
E00071,A0024,2026-01-12T07:00,CheckedIn
E00072,A0024,2026-01-12T10:00,Closed
E00073,A0025,2026-01-10T17:00,Booked
E00074,A0025,2026-01-12T15:00,CheckedIn
E00075,A0025,2026-01-12T18:00,Closed
E00076,A0026,2026-01-11T01:00,Booked
E00077,A0026,2026-01-12T23:00,CheckedIn
E00078,A0026,2026-01-13T02:00,Closed
E00079,A0027,2026-01-11T09:00,Booked
E00080,A0027,2026-01-13T07:00,CheckedIn
E00081,A0027,2026-01-13T10:00,Closed
E00082,A0028,2026-01-11T17:00,Booked
E00083,A0028,2026-01-13T15:00,CheckedIn
E00084,A0028,2026-01-13T18:00,Closed
E00085,A0029,2026-01-12T01:00,Booked
E00086,A0029,2026-01-13T23:00,CheckedIn
E00087,A0029,2026-01-14T02:00,Closed
E00088,A0030,2026-01-12T09:00,Booked
E00089,A0030,2026-01-14T07:00,CheckedIn
E00090,A0030,2026-01-14T10:00,Closed
E00091,A0031,2026-01-12T17:00,Booked
E00092,A0031,2026-01-14T15:00,CheckedIn
E00093,A0031,2026-01-14T18:00,Closed
E00094,A0032,2026-01-13T01:00,Booked
E00095,A0032,2026-01-14T23:00,CheckedIn
E00096,A0032,2026-01-15T02:00,Closed
E00097,A0033,2026-01-13T09:00,Booked
E00098,A0033,2026-01-15T07:00,CheckedIn
E00099,A0033,2026-01-15T10:00,Closed
