payment_id,appointment_id,paid_at,amount,method
PAY0001,A0001,2026-01-03T19:00,1600,Card
PAY0002,A0002,2026-01-04T03:00,700,UPI
PAY0003,A0003,2026-01-04T11:00,700,Card
PAY0004,A0004,2026-01-04T19:00,700,Cash
PAY0005,A0006,2026-01-05T11:00,700,Card
PAY0006,A0007,2026-01-05T19:00,700,Cash
PAY0007,A0008,2026-01-06T03:00,700,UPI
PAY0008,A0010,2026-01-06T19:00,450,UPI
PAY0009,A0011,2026-01-07T03:00,700,Card
PAY0010,A0012,2026-01-07T11:00,1600,Card
PAY0011,A0014,2026-01-08T03:00,450,Card
PAY0012,A0015,2026-01-08T11:00,1600,Cash
PAY0013,A0016,2026-01-08T19:00,700,Cash
PAY0014,A0018,2026-01-09T11:00,1600,Cash
PAY0015,A0020,2026-01-11T03:00,1600,Card
PAY0016,A0021,2026-01-11T11:00,1600,UPI
PAY0017,A0022,2026-01-11T19:00,1600,Card
PAY0018,A0023,2026-01-12T03:00,700,Card
PAY0019,A0025,2026-01-12T19:00,450,Cash
PAY0020,A0026,2026-01-13T03:00,450,Cash
PAY0021,A0027,2026-01-13T11:00,450,UPI
PAY0022,A0028,2026-01-13T19:00,700,Cash
PAY0023,A0030,2026-01-14T11:00,450,Cash
PAY0024,A0031,2026-01-14T19:00,450,Cash
PAY0025,A0033,2026-01-15T11:00,700,Cash
PAY0026,A0034,2026-01-15T19:00,1600,Card
PAY0027,A0036,2026-01-16T11:00,1600,Card
PAY0028,A0037,2026-01-16T19:00,700,UPI
PAY0029,A0038,2026-01-17T03:00,450,UPI
PAY0030,A0039,2026-01-17T11:00,450,Card
PAY0031,A0040,2026-01-18T19:00,450,UPI
PAY0032,A0041,2026-01-19T03:00,700,Card
PAY0033,A0042,2026-01-19T11:00,1600,Card
PAY0034,A0043,2026-01-19T19:00,700,UPI
PAY0035,A0044,2026-01-20T03:00,1600,UPI
PAY0036,A0045,2026-01-20T11:00,700,Card
PAY0037,A0046,2026-01-20T19:00,700,UPI
PAY0038,A0048,2026-01-21T11:00,1600,Card
PAY0039,A0049,2026-01-21T19:00,700,Card
PAY0040,A0050,2026-01-22T03:00,700,Card
PAY0041,A0051,2026-01-22T11:00,1600,Card
PAY0042,A0052,2026-01-22T19:00,1600,Card
PAY0043,A0054,2026-01-23T11:00,1600,Cash
PAY0044,A0055,2026-01-23T19:00,700,UPI
PAY0045,A0056,2026-01-24T03:00,1600,Card
PAY0046,A0059,2026-01-25T03:00,450,Card
PAY0047,A0060,2026-01-26T11:00,700,UPI
PAY0048,A0063,2026-01-27T11:00,450,UPI
PAY0049,A0064,2026-01-27T19:00,1600,Card
PAY0050,A0065,2026-01-28T03:00,450,UPI
PAY0051,A0067,2026-01-28T19:00,450,Card
PAY0052,A0068,2026-01-29T03:00,700,Card
PAY0053,A0069,2026-01-29T11:00,1600,UPI
PAY0054,A0070,2026-01-29T19:00,700,UPI
PAY0055,A0072,2026-01-30T11:00,1600,Cash
PAY0056,A0073,2026-01-30T19:00,700,UPI
PAY0057,A0074,2026-01-31T03:00,1600,Cash
PAY0058,A0075,2026-01-31T11:00,700,UPI
PAY0059,A0076,2026-01-31T19:00,1600,Card
PAY0060,A0077,2026-02-01T03:00,700,UPI
PAY0061,A0078,2026-02-01T11:00,450,Card
PAY0062,A0079,2026-02-01T19:00,450,Card
PAY0063,A0080,2026-02-03T03:00,1600,Cash
PAY0064,A0082,2026-02-03T19:00,450,Cash
PAY0065,A0083,2026-02-04T03:00,450,Card
PAY0066,A0084,2026-02-04T11:00,1600,UPI
PAY0067,A0085,2026-02-04T19:00,700,Card
PAY0068,A0086,2026-02-05T03:00,450,UPI
PAY0069,A0087,2026-02-05T11:00,700,Card
PAY0070,A0088,2026-02-05T19:00,450,UPI
PAY0071,A0089,2026-02-06T03:00,700,Cash
PAY0072,A0090,2026-02-06T11:00,700,Cash
PAY0073,A0091,2026-02-06T19:00,1600,Card
PAY0074,A0092,2026-02-07T03:00,450,UPI
PAY0075,A0093,2026-02-07T11:00,450,UPI
PAY0076,A0094,2026-02-07T19:00,700,Cash
PAY0077,A0095,2026-02-08T03:00,700,Cash
PAY0078,A0096,2026-02-08T11:00,1600,Card
PAY0079,A9998,2026-04-01T12:00,999,UPI
