provider_id,effective_at,clinic_id,specialty,status
D001,2026-01-01,C01,Cardio,Active
D001,2026-03-01,C02,Cardio,Active
D002,2026-01-01,C02,Derm,Active
D002,2026-03-01,C03,Derm,Active
D003,2026-01-01,C03,Derm,Active
D003,2026-03-01,C04,Derm,Active
D004,2026-01-01,C04,General,Active
D004,2026-03-01,C05,General,Active
D005,2026-01-01,C05,Cardio,Active
D005,2026-03-01,C06,Cardio,Active
D006,2026-01-01,C06,Derm,Active
D007,2026-01-01,C01,Ortho,Active
D008,2026-01-01,C02,Derm,Active
D009,2026-01-01,C03,General,Active
D010,2026-01-01,C04,General,Active
D011,2026-01-01,C05,Cardio,Active
D012,2026-01-01,C06,Ortho,Active
D003,2026-03-01,C05,Cardio,Active
