change_id,driver_id,effective_date,city,vehicle_type,status
1,D001,2025-12-01,North City,Car,active
2,D002,2025-12-01,South City,Van,active
3,D003,2025-12-01,East City,Bike,active
4,D004,2025-12-01,West City,Car,active
5,D004,2026-02-15,North City,Car,active
6,D005,2025-12-01,North City,Van,active
7,D006,2025-12-01,South City,Bike,active
8,D006,2026-03-01,South City,Car,active
9,D007,2025-12-01,East City,Car,active
10,D008,2025-12-01,West City,Van,active
11,D008,2026-02-15,North City,Van,active
12,D009,2025-12-01,North City,Bike,active
13,D010,2025-12-01,South City,Car,active
14,D011,2025-12-01,East City,Van,active
15,D012,2025-12-01,West City,Bike,active
16,D012,2026-02-15,North City,Bike,active
17,D012,2026-03-01,West City,Car,active
18,D013,2025-12-01,North City,Car,active
19,D014,2025-12-01,South City,Van,active
20,D015,2025-12-01,East City,Bike,active
21,D016,2025-12-01,West City,Car,active
22,D016,2026-02-15,North City,Car,active
23,D017,2025-12-01,North City,Van,active
24,D018,2025-12-01,South City,Bike,active
25,D018,2026-03-01,South City,Car,active
26,D019,2025-12-01,East City,Car,active
27,D020,2025-12-01,West City,Van,active
28,D020,2026-02-15,North City,Van,active
