driver_id,driver_name,current_city,vehicle_type
D001,Driver 001,North City,Car
D002,Driver 002,South City,Van
D003,Driver 003,East City,Bike
D004,Driver 004,West City,Car
D005,Driver 005,North City,Van
D006,Driver 006,South City,Bike
D007,Driver 007,East City,Car
D008,Driver 008,West City,Van
D009,Driver 009,North City,Bike
D010,Driver 010,South City,Car
D011,Driver 011,East City,Van
D012,Driver 012,West City,Bike
D013,Driver 013,North City,Car
D014,Driver 014,South City,Van
D015,Driver 015,East City,Bike
D016,Driver 016,West City,Car
D017,Driver 017,North City,Van
D018,Driver 018,South City,Bike
D019,Driver 019,East City,Car
D020,Driver 020,West City,Van
