payment_id,ride_id,payment_date,amount,method
1,1001,2026-01-01,121.0,UPI
2,1002,2026-01-03,119.4,Card
3,1003,2026-01-05,142.8,Cash
4,1005,2026-01-09,189.6,Card
5,1006,2026-01-11,238.0,Cash
6,1007,2026-01-13,236.4,UPI
7,1009,2026-01-17,283.2,Cash
8,1010,2026-01-19,306.6,UPI
9,1011,2026-01-21,355.0,Card
10,1013,2026-01-25,106.8,UPI
11,1014,2026-01-27,130.2,Card
12,1015,2026-01-29,153.6,Cash
13,1017,2026-02-02,200.4,Card
14,1018,2026-02-04,223.8,Cash
15,1019,2026-02-06,247.2,UPI
16,1021,2026-02-10,319.0,Cash
17,1022,2026-02-12,317.4,UPI
18,1023,2026-02-14,340.8,Card
19,1025,2026-02-18,117.6,UPI
20,1026,2026-02-20,166.0,Card
21,1027,2026-02-22,164.4,Cash
22,1029,2026-02-26,211.2,Card
23,1030,2026-02-28,234.6,Cash
24,1031,2026-03-02,283.0,UPI
25,1033,2026-03-06,304.8,Cash
26,1034,2026-03-08,328.2,UPI
27,1035,2026-03-10,351.6,Card
28,1037,2026-03-14,128.4,UPI
29,1038,2026-03-16,151.8,Card
30,1039,2026-03-18,175.2,Cash
31,1041,2026-03-22,247.0,Card
32,1042,2026-03-24,245.4,Cash
33,1043,2026-03-26,268.8,UPI
34,1045,2026-01-01,315.6,Cash
35,1046,2026-01-03,364.0,UPI
36,1047,2026-01-05,362.4,Card
37,1049,2026-01-09,139.2,UPI
38,1050,2026-01-11,162.6,Card
39,1051,2026-01-13,211.0,Cash
40,1053,2026-01-17,232.8,Card
41,1054,2026-01-19,256.2,Cash
42,1055,2026-01-21,279.6,UPI
43,1057,2026-01-25,326.4,Cash
44,1058,2026-01-27,349.8,UPI
45,1059,2026-01-29,103.2,Card
46,1061,2026-02-02,175.0,UPI
47,1062,2026-02-04,173.4,Card
48,1063,2026-02-06,196.8,Cash
49,1065,2026-02-10,243.6,Card
50,1066,2026-02-12,292.0,Cash
51,1067,2026-02-14,290.4,UPI
52,1069,2026-02-18,337.2,Cash
53,1070,2026-02-20,360.6,UPI
54,1071,2026-02-22,139.0,Card
55,1073,2026-02-26,160.8,UPI
56,1074,2026-02-28,184.2,Card
57,1075,2026-03-02,207.6,Cash
58,1077,2026-03-06,254.4,Card
59,1078,2026-03-08,277.8,Cash
60,1079,2026-03-10,301.2,UPI
61,1081,2026-03-14,373.0,Cash
62,1082,2026-03-16,101.4,UPI
63,1083,2026-03-18,124.8,Card
64,1085,2026-03-22,171.6,UPI
65,1086,2026-03-24,220.0,Card
66,1087,2026-03-26,218.4,Cash
67,1089,2026-01-01,265.2,Card
68,1090,2026-01-03,288.6,Cash
69,1091,2026-01-05,337.0,UPI
70,1093,2026-01-09,358.8,Cash
71,1094,2026-01-11,112.2,UPI
72,1095,2026-01-13,135.6,Card
73,1097,2026-01-17,182.4,UPI
74,1098,2026-01-19,205.8,Card
75,1099,2026-01-21,229.2,Cash
76,1101,2026-01-25,301.0,Card
77,1102,2026-01-27,299.4,Cash
78,1103,2026-01-29,322.8,UPI
79,1105,2026-02-02,99.6,Cash
80,1106,2026-02-04,148.0,UPI
81,1107,2026-02-06,146.4,Card
82,1109,2026-02-10,193.2,UPI
83,1110,2026-02-12,216.6,Card
84,1111,2026-02-14,265.0,Cash
85,1113,2026-02-18,286.8,Card
86,1114,2026-02-20,310.2,Cash
87,1115,2026-02-22,333.6,UPI
88,1117,2026-02-26,110.4,Cash
89,1118,2026-02-28,133.8,UPI
90,1119,2026-03-02,157.2,Card
