event_id,ride_id,event_type,event_ts
1,1001,requested,2026-01-01 08:00:00
2,1001,accepted,2026-01-01 08:00:00
3,1001,started,2026-01-01 09:00:00
4,1001,completed,2026-01-01 10:00:00
5,1002,requested,2026-01-03 08:03:00
6,1002,accepted,2026-01-03 08:03:00
7,1002,started,2026-01-03 09:03:00
8,1002,completed,2026-01-03 10:05:00
9,1003,requested,2026-01-05 08:06:00
10,1003,accepted,2026-01-05 08:06:00
11,1003,started,2026-01-05 09:06:00
12,1003,completed,2026-01-05 10:10:00
13,1004,requested,2026-01-07 08:09:00
14,1004,accepted,2026-01-07 08:09:00
15,1004,started,2026-01-07 09:09:00
16,1005,requested,2026-01-09 08:12:00
17,1005,accepted,2026-01-09 08:12:00
18,1005,started,2026-01-09 09:12:00
19,1005,completed,2026-01-09 10:20:00
20,1006,requested,2026-01-11 08:15:00
21,1006,accepted,2026-01-11 08:15:00
22,1006,started,2026-01-11 09:15:00
23,1006,completed,2026-01-11 10:25:00
24,1007,requested,2026-01-13 08:18:00
25,1007,accepted,2026-01-13 08:18:00
26,1007,started,2026-01-13 09:18:00
27,1007,completed,2026-01-13 10:30:00
28,1008,requested,2026-01-15 08:21:00
29,1008,accepted,2026-01-15 08:21:00
30,1008,started,2026-01-15 09:21:00
31,1009,requested,2026-01-17 08:24:00
32,1009,accepted,2026-01-17 08:24:00
33,1009,started,2026-01-17 09:24:00
34,1009,completed,2026-01-17 10:40:00
35,1010,requested,2026-01-19 08:27:00
36,1010,accepted,2026-01-19 08:27:00
37,1010,started,2026-01-19 09:27:00
38,1010,completed,2026-01-19 10:45:00
39,1011,requested,2026-01-21 08:30:00
40,1011,accepted,2026-01-21 08:30:00
41,1011,started,2026-01-21 09:30:00
42,1011,completed,2026-01-21 10:50:00
43,1012,requested,2026-01-23 08:33:00
44,1012,accepted,2026-01-23 08:33:00
45,1012,started,2026-01-23 09:33:00
46,1013,requested,2026-01-25 08:36:00
47,1013,accepted,2026-01-25 08:36:00
48,1013,started,2026-01-25 09:36:00
49,1013,completed,2026-01-25 10:00:00
50,1014,requested,2026-01-27 08:39:00
51,1014,accepted,2026-01-27 08:39:00
52,1014,started,2026-01-27 09:39:00
53,1014,completed,2026-01-27 10:05:00
54,1015,requested,2026-01-29 08:42:00
55,1015,accepted,2026-01-29 08:42:00
56,1015,started,2026-01-29 09:42:00
57,1015,completed,2026-01-29 10:10:00
58,1016,requested,2026-01-31 08:45:00
59,1016,accepted,2026-01-31 08:45:00
60,1016,started,2026-01-31 09:45:00
61,1017,requested,2026-02-02 08:48:00
62,1017,accepted,2026-02-02 08:48:00
63,1017,started,2026-02-02 09:48:00
64,1017,completed,2026-02-02 10:20:00
