rider_id,rider_name,home_city,segment
R001,Rider 001,North City,Business
R002,Rider 002,South City,Consumer
R003,Rider 003,East City,Business
R004,Rider 004,West City,Consumer
R005,Rider 005,North City,Business
R006,Rider 006,South City,Consumer
R007,Rider 007,East City,Business
R008,Rider 008,West City,Consumer
R009,Rider 009,North City,Business
R010,Rider 010,South City,Consumer
R011,Rider 011,East City,Business
R012,Rider 012,West City,Consumer
R013,Rider 013,North City,Business
R014,Rider 014,South City,Consumer
R015,Rider 015,East City,Business
R016,Rider 016,West City,Consumer
R017,Rider 017,North City,Business
R018,Rider 018,South City,Consumer
R019,Rider 019,East City,Business
R020,Rider 020,West City,Consumer
R021,Rider 021,North City,Business
R022,Rider 022,South City,Consumer
R023,Rider 023,East City,Business
R024,Rider 024,West City,Consumer
R025,Rider 025,North City,Business
R026,Rider 026,South City,Consumer
R027,Rider 027,East City,Business
R028,Rider 028,West City,Consumer
R029,Rider 029,North City,Business
R030,Rider 030,South City,Consumer
