ride_id,rider_id,driver_id,city,ride_date,distance_km,fare_amount,status
1001,R001,D001,North City,2026-01-01,2.0,121.0,Completed
1002,R008,D006,South City,2026-01-03,3.3,119.4,Completed
1003,R015,D011,East City,2026-01-05,4.6,142.8,Completed
1004,R022,D016,West City,2026-01-07,5.9,166.2,Cancelled
1005,R029,D001,North City,2026-01-09,7.2,189.6,Completed
1006,R006,D006,South City,2026-01-11,8.5,238.0,Completed
1007,R013,D011,East City,2026-01-13,9.8,236.4,Completed
1008,R020,D016,West City,2026-01-15,11.1,259.8,Cancelled
1009,R027,D001,North City,2026-01-17,12.4,283.2,Completed
1010,R004,D006,South City,2026-01-19,13.7,306.6,Completed
1011,R011,D011,East City,2026-01-21,15.0,355.0,Completed
1012,R018,D016,West City,2026-01-23,16.3,353.4,Cancelled
1013,R025,D001,North City,2026-01-25,2.6,106.8,Completed
1014,R002,D006,South City,2026-01-27,3.9,130.2,Completed
1015,R009,D011,East City,2026-01-29,5.2,153.6,Completed
1016,R016,D016,West City,2026-01-31,6.5,202.0,Cancelled
1017,R023,D001,North City,2026-02-02,7.8,200.4,Completed
1018,R030,D006,South City,2026-02-04,9.1,223.8,Completed
1019,R007,D011,East City,2026-02-06,10.4,247.2,Completed
1020,R014,D016,West City,2026-02-08,11.7,270.6,Cancelled
1021,R021,D001,North City,2026-02-10,13.0,319.0,Completed
1022,R028,D006,South City,2026-02-12,14.3,317.4,Completed
1023,R005,D011,East City,2026-02-14,15.6,340.8,Completed
1024,R012,D016,West City,2026-02-16,16.9,364.2,Cancelled
1025,R019,D001,North City,2026-02-18,3.2,117.6,Completed
1026,R026,D006,South City,2026-02-20,4.5,166.0,Completed
1027,R003,D011,East City,2026-02-22,5.8,164.4,Completed
1028,R010,D016,West City,2026-02-24,7.1,187.8,Cancelled
1029,R017,D001,North City,2026-02-26,8.4,211.2,Completed
1030,R024,D006,South City,2026-02-28,9.7,234.6,Completed
1031,R001,D011,East City,2026-03-02,11.0,283.0,Completed
