customer_id,customer_name,home_region,segment
C001,Customer 001,North,Business
C002,Customer 002,South,Property
C003,Customer 003,East,Consumer
C004,Customer 004,West,Business
C005,Customer 005,North,Property
C006,Customer 006,South,Consumer
C007,Customer 007,East,Business
C008,Customer 008,West,Property
C009,Customer 009,North,Consumer
C010,Customer 010,South,Business
C011,Customer 011,East,Property
C012,Customer 012,West,Consumer
C013,Customer 013,North,Business
C014,Customer 014,South,Property
C015,Customer 015,East,Consumer
C016,Customer 016,West,Business
C017,Customer 017,North,Property
C018,Customer 018,South,Consumer
C019,Customer 019,East,Business
C020,Customer 020,West,Property
C021,Customer 021,North,Consumer
C022,Customer 022,South,Business
C023,Customer 023,East,Property
C024,Customer 024,West,Consumer
