service_order_id,customer_id,technician_id,order_date,status,region,base_fee
8001,C001,T001,2026-01-01,Completed,North,350
8002,C008,T006,2026-01-03,Completed,South,400
8003,C015,T011,2026-01-05,Completed,East,450
8004,C022,T004,2026-01-07,Cancelled,West,500
8005,C005,T009,2026-01-09,Completed,North,550
8006,C012,T002,2026-01-11,Completed,South,BAD_AMOUNT
8007,C019,T007,2026-01-13,Completed,East,400
8008,C002,T012,2026-01-15,Cancelled,West,450
8009,C009,T005,2026-01-17,Completed,North,500
8010,C016,T010,2026-01-19,Completed,South,550
8011,C023,T003,2026-01-21,Completed,East,350
8012,C006,T008,2026-01-23,Cancelled,West,400
8013,C013,T001,2026-01-25,Completed,North,450
8014,C020,T006,2026-01-27,Completed,South,500
8015,C003,T011,2026-01-29,Completed,East,550
8016,C010,T004,2026-01-31,Cancelled,West,350
8045,C021,T005,2026-01-01,Completed,North,550
8046,C004,T010,2026-01-03,Completed,South,350
8047,C011,T003,2026-01-05,Completed,East,400
8048,C018,T008,2026-01-07,Cancelled,West,450
8049,C001,T001,2026-01-09,Completed,North,500
8050,C008,T006,2026-01-11,Completed,South,550
8051,C015,T011,2026-01-13,Completed,East,350
8052,C022,T004,2026-01-15,Cancelled,West,400
8053,C005,T009,2026-01-17,Completed,North,450
8054,C012,T002,2026-01-19,Completed,South,500
8055,C019,T007,2026-01-21,Completed,East,550
8056,C002,T012,2026-01-23,Cancelled,West,350
8057,C009,T005,2026-01-25,Completed,North,400
8058,C016,T010,2026-01-27,Completed,South,450
8059,C023,T003,2026-01-29,Completed,East,500
8060,C006,T008,2026-01-31,Cancelled,West,550
