service_item_id,service_order_id,part_code,quantity,unit_price
1,8001,PART001,1,180
2,8002,PART002,1,250
3,8002,PART003,2,320
4,8003,PART003,1,320
5,8003,PART004,2,390
6,8003,PART005,1,460
7,8004,PART004,1,390
8,8005,PART005,1,460
9,8005,PART006,2,530
10,8006,PART006,1,530
11,8006,PART007,2,600
12,8006,PART008,1,670
13,8007,PART007,1,600
14,8008,PART008,1,670
15,8008,PART009,2,180
16,8009,PART009,1,180
17,8009,PART010,2,250
18,8009,PART011,1,320
19,8010,PART010,1,250
20,8011,PART011,1,320
21,8011,PART012,2,390
22,8012,PART012,1,390
23,8012,PART013,2,460
24,8012,PART014,1,530
25,8013,PART013,1,460
26,8014,PART014,1,530
27,8014,PART015,2,600
28,8015,PART015,1,600
29,8015,PART001,2,670
30,8015,PART002,1,180
31,8016,PART001,1,670
32,8017,PART002,1,180
33,8017,PART003,2,250
34,8018,PART003,1,250
35,8018,PART004,2,320
36,8018,PART005,1,390
37,8019,PART004,1,320
38,8020,PART005,1,390
39,8020,PART006,2,460
40,8021,PART006,1,460
41,8021,PART007,2,530
42,8021,PART008,1,600
43,8022,PART007,1,530
44,8023,PART008,1,600
45,8023,PART009,2,670
46,8024,PART009,1,670
47,8024,PART010,2,180
48,8024,PART011,1,250
49,8025,PART010,1,180
50,8026,PART011,1,250
51,8026,PART012,2,320
52,8027,PART012,1,320
53,8027,PART013,2,390
54,8027,PART014,1,460
55,8028,PART013,1,390
56,8029,PART014,1,460
57,8029,PART015,2,530
58,8030,PART015,1,530
59,8030,PART001,2,600
60,8030,PART002,1,670
61,8031,PART001,1,600
62,8032,PART002,1,670
63,8032,PART003,2,180
64,8033,PART003,1,180
65,8033,PART004,2,250
66,8033,PART005,1,320
67,8034,PART004,1,250
68,8035,PART005,1,320
69,8035,PART006,2,390
70,8036,PART006,1,390
71,8036,PART007,2,460
72,8036,PART008,1,530
73,8037,PART007,1,460
74,8038,PART008,1,530
75,8038,PART009,2,600
76,8039,PART009,1,600
77,8039,PART010,2,670
78,8039,PART011,1,180
79,8040,PART010,1,670
80,8041,PART011,1,180
81,8041,PART012,2,250
82,8042,PART012,1,250
83,8042,PART013,2,320
84,8042,PART014,1,390
85,8043,PART013,1,320
86,8044,PART014,1,390
87,8044,PART015,2,460
88,8045,PART015,1,460
89,8045,PART001,2,530
90,8045,PART002,1,600
91,8046,PART001,1,530
92,8047,PART002,1,600
93,8047,PART003,2,670
94,8048,PART003,1,670
95,8048,PART004,2,180
96,8048,PART005,1,250
97,8049,PART004,1,180
98,8050,PART005,1,250
99,8050,PART006,2,320
100,8051,PART006,1,320
101,8051,PART007,2,390
102,8051,PART008,1,460
103,8052,PART007,1,390
104,8053,PART008,1,460
105,8053,PART009,2,530
106,8054,PART009,1,530
107,8054,PART010,2,600
108,8054,PART011,1,670
109,8055,PART010,1,600
110,8056,PART011,1,670
111,8056,PART012,2,180
112,8057,PART012,1,180
113,8057,PART013,2,250
114,8057,PART014,1,320
115,8058,PART013,1,250
116,8059,PART014,1,320
117,8059,PART015,2,390
118,8060,PART015,1,390
119,8060,PART001,2,460
120,8060,PART002,1,530
121,8061,PART001,1,460
122,8062,PART002,1,530
123,8062,PART003,2,600
124,8063,PART003,1,600
125,8063,PART004,2,670
126,8063,PART005,1,180
127,8064,PART004,1,670
128,8065,PART005,1,180
129,8065,PART006,2,250
130,8066,PART006,1,250
131,8066,PART007,2,320
132,8066,PART008,1,390
133,8067,PART007,1,320
134,8068,PART008,1,390
135,8068,PART009,2,460
136,8069,PART009,1,460
137,8069,PART010,2,530
138,8069,PART011,1,600
139,8070,PART010,1,530
140,8071,PART011,1,600
141,8071,PART012,2,670
142,8072,PART012,1,670
143,8072,PART013,2,180
144,8072,PART014,1,250
