service_order_id,customer_id,technician_id,order_date,status,region,base_fee
8017,C017,T009,2026-02-02,Completed,North,400
8018,C024,T002,2026-02-04,Completed,South,450
8019,C007,T007,2026-02-06,Completed,East,500
8020,C014,T012,2026-02-08,Cancelled,West,550
8021,C021,T005,2026-02-10,Completed,North,350
8022,C004,T010,2026-02-12,Completed,South,400
8023,C011,T003,2026-02-14,Completed,East,450
8024,C018,T008,2026-02-16,Cancelled,West,500
8025,C001,T001,2026-02-18,Completed,North,550
8026,C008,T006,2026-02-20,Completed,South,350
8027,C015,T011,2026-02-22,Completed,East,400
8028,C022,T004,2026-02-24,Cancelled,West,450
8029,C005,T009,2026-02-26,Completed,North,500
8030,C012,T002,2026-02-28,Completed,South,550
8061,C013,T001,2026-02-02,Completed,North,350
8062,C020,T006,2026-02-04,Completed,South,400
8063,C003,T011,2026-02-06,Completed,East,450
8064,C010,T004,2026-02-08,Cancelled,West,500
8065,C017,T009,2026-02-10,Completed,North,550
8066,C024,T002,2026-02-12,Completed,South,350
8067,C007,T007,2026-02-14,Completed,East,400
8068,C014,T012,2026-02-16,Cancelled,West,450
8069,C021,T005,2026-02-18,Completed,North,500
8070,C004,T010,2026-02-20,Completed,South,550
8071,C011,T003,2026-02-22,Completed,East,350
8072,C018,T008,2026-02-24,Cancelled,West,400
