change_id,technician_id,effective_date,region,specialty,status
1,T001,2025-12-01,North,Plumbing,active
2,T002,2025-12-01,South,Appliance,active
3,T003,2025-12-01,East,HVAC,active
4,T003,2026-02-15,West,HVAC,active
5,T004,2025-12-01,West,Electrical,active
6,T005,2025-12-01,North,Plumbing,active
7,T006,2025-12-01,South,Appliance,active
8,T006,2026-02-15,East,Appliance,active
9,T007,2025-12-01,East,HVAC,active
10,T008,2025-12-01,West,Electrical,active
11,T009,2025-12-01,North,Plumbing,active
12,T009,2026-02-15,South,Plumbing,active
13,T010,2025-12-01,South,Appliance,active
14,T011,2025-12-01,East,HVAC,active
15,T012,2025-12-01,West,Electrical,active
16,T012,2026-02-15,North,Electrical,active
17,T006,2026-02-15,West,HVAC,active
